,link_id,init_node,term_node,capacity,length,free_flow_time,b,power,speed,toll,link_type,actual_tt,link_flows,v/c
24,25,9,10,13916,3,3,0.15,4,0,0,1,6.37894147931628,23035.9676082124,165.54%
25,26,10,9,13916,3,3,0.15,4,0,0,1,6.90037809277786,23877.451343508,171.58%
26,27,10,11,10000,5,5,0.15,4,0,0,1,12.3272001975569,17679.4682539682,176.79%
27,28,10,15,13512,6,6,0.15,4,0,0,1,13.1067816561533,22650.4717872655,167.63%
28,29,10,16,4855,4,4,0.15,4,0,0,1,20.5361892291873,11123.9820654408,229.12%
29,30,10,17,4994,8,8,0.15,4,0,0,1,15.0845127445443,7784.50000000002,155.88%
30,31,11,4,4909,6,6,0.15,4,0,0,1,9.50584461595096,6896.52906170239,140.49%
31,32,11,10,10000,5,5,0.15,4,0,0,1,12.8196348179522,17969.3059052692,179.69%
32,33,11,12,4909,6,6,0.15,4,0,0,1,9.72770743454568,7003.14082676305,142.66%
33,34,11,14,4877,4,4,0.15,4,0,0,1,13.4937675818771,9726.90315465459,199.44%
34,35,12,3,23403,4,4,0.15,4,0,0,1,4.04216257143746,12049.4019638725,51.49%
35,36,12,11,4909,6,6,0.15,4,0,0,1,13.3126991048523,8288.03985313915,168.83%
36,37,12,13,25900,3,3,0.15,4,0,0,1,3.04304063346377,14403.4423695876,55.61%
37,38,13,12,25900,3,3,0.15,4,0,0,1,3.04326945799208,14422.5482124708,55.69%
38,39,13,24,5091,4,4,0.15,4,0,0,1,19.7192955833617,11517.9066553019,226.24%
39,40,14,11,4877,4,4,0.15,4,0,0,1,12.8433005870155,9555.83274604418,195.94%
40,41,14,15,5128,5,5,0.15,4,0,0,1,12.4324154937087,9098.40355147999,177.43%
41,42,14,23,4925,4,4,0.15,4,0,0,1,7.96545811097368,7896.62953538693,160.34%
42,43,15,10,13512,6,6,0.15,4,0,0,1,13.3700648043266,22857.400390691,169.16%
43,44,15,14,5128,5,5,0.15,4,0,0,1,11.9587601522201,8949.84816723867,174.53%
44,45,15,19,14565,3,3,0.15,4,0,0,1,4.30588769354473,19010.074454365,130.52%
45,46,15,22,9599,3,3,0.15,4,0,0,1,8.39347150159983,17860.3497956674,186.06%
46,47,16,8,5046,5,5,0.15,4,0,0,1,11.1029571157737,8522.49999999994,168.90%
47,48,16,10,4855,4,4,0.15,4,0,0,1,22.222683208396,11397.3662126762,234.76%
48,49,16,17,5230,2,2,0.15,4,0,0,1,8.58761648255066,11321.4864747308,216.47%
49,50,16,18,19680,3,3,0.15,4,0,0,1,3.23918827694406,16803.7781128278,85.39%
50,51,17,10,4994,8,8,0.15,4,0,0,1,14.9807320046507,7755.8333333333,155.30%
51,52,17,16,5230,2,2,0.15,4,0,0,1,8.89200659599463,11450.0608922591,218.93%
52,53,17,19,4824,2,2,0.15,4,0,0,1,7.04423969240108,9768.4557661402,202.50%
53,54,18,7,23403,2,2,0.15,4,0,0,1,2.05220849290828,15115.6388888889,64.59%
54,55,18,16,19680,3,3,0.15,4,0,0,1,3.26064298299398,17168.5443623407,87.24%
55,56,18,20,23403,4,4,0.15,4,0,0,1,4.28034393244117,19348.9102556852,82.68%
56,57,19,15,14565,3,3,0.15,4,0,0,1,4.20714456108141,18640.0546371498,127.98%
57,58,19,17,4824,2,2,0.15,4,0,0,1,7.25378884866623,9868.3635170018,204.57%
58,59,19,20,5003,4,4,0.15,4,0,0,1,9.53158220916135,8717.76249638415,174.25%
59,60,20,18,23403,4,4,0.15,4,0,0,1,4.2829685247407,19394.0384671251,82.87%
60,61,20,19,5003,4,4,0.15,4,0,0,1,8.87722706781819,8447.65043003093,168.85%
61,62,20,21,5060,6,6,0.15,4,0,0,1,7.79420693219503,6012.54060094492,118.82%
62,63,20,22,5076,5,5,0.15,4,0,0,1,8.66786495853292,7548.48214285713,148.71%
63,64,21,20,5060,6,6,0.15,4,0,0,1,8.04955888196549,6215.91388888893,122.84%
64,65,21,22,5230,2,2,0.15,4,0,0,1,4.37980153471538,8777.21143526452,167.82%
65,66,21,24,4885,3,3,0.15,4,0,0,1,11.6938902348707,10241.5332139058,209.65%
66,67,22,15,9599,3,3,0.15,4,0,0,1,8.801219222757,18188.7428320666,189.49%
67,68,22,20,5076,5,5,0.15,4,0,0,1,7.743810985697,7020.12499999998,138.30%
68,69,22,21,5230,2,2,0.15,4,0,0,1,4.56084553192649,8939.58217597647,170.93%
69,70,22,23,5000,4,4,0.15,4,0,0,1,11.5316673470706,9411.41608487131,188.23%
70,71,23,14,4925,4,4,0.15,4,0,0,1,7.92042559912536,7874.11451101782,159.88%
71,72,23,22,5000,4,4,0.15,4,0,0,1,11.4120471957056,9373.82271912509,187.48%
72,73,23,24,5079,2,2,0.15,4,0,0,1,4.47661864139827,8609.19775031624,169.51%
73,74,24,13,5091,4,4,0.15,4,0,0,1,19.2823184444817,11437.0124981852,224.65%
74,75,24,21,4885,3,3,0.15,4,0,0,1,11.8339544568801,10282.5357611377,210.49%
75,76,24,23,5079,2,2,0.15,4,0,0,1,4.40817381508936,8549.08936020097,168.32%
